# Nmap 7.98 scan initiated Thu Nov 13 18:35:52 2025 as: nmap -sS -p- -oN port_scan_results.txt 10.31.119.183
Nmap scan report for 10.31.119.183
Host is up (0.00090s latency).
Not shown: 65514 closed tcp ports (reset)
PORT      STATE    SERVICE
135/tcp   open     msrpc
137/tcp   filtered netbios-ns
139/tcp   open     netbios-ssn
445/tcp   open     microsoft-ds
2869/tcp  open     icslap
5040/tcp  open     unknown
49664/tcp open     unknown
49665/tcp open     unknown
49666/tcp open     unknown
49667/tcp open     unknown
49668/tcp open     unknown
49669/tcp open     unknown
49670/tcp open     unknown
49671/tcp open     unknown
49674/tcp open     unknown
49675/tcp open     unknown
49676/tcp open     unknown
49677/tcp open     unknown
49678/tcp open     unknown
49679/tcp open     unknown
49680/tcp open     unknown

# Nmap done at Thu Nov 13 18:36:02 2025 -- 1 IP address (1 host up) scanned in 10.10 seconds
